Date        TakeOff  From  To   Landing  ArriveDate  Duration  Cost  Flight
2022-12-10  01:05    NOU   NRT  08:00    2022-12-10  08:55      480  SB800
2022-12-10  22:30    NRT   DXB  05:30    2022-12-11  12:00      500  EK319
2022-12-11  11:50    DXB   ATH  15:25    2022-12-11  05:35      250  EK209
2022-12-14  13:30    ATH   IST  16:00    2022-12-14  01:30       70  A3992
2022-12-16  16:50    IST   ATH  17:20    2022-12-16  01:30       60  A3993
2022-12-18  13:30    ATH   CPH  15:55    2022-12-18  03:25      110  SK778
2022-12-21  08:10    CPH   KEF  10:35    2022-12-21  03:25      150  SK595
2022-12-28  17:00    KEF   SEA  17:05    2022-12-28  07:55      490  FI681
2023-01-04  11:20    SEA   ICN  16:15    2023-01-05  11:55      540  DL197
2023-01-05  18:40    ICN   HAN  21:40    2023-01-05  05:00      220  DL7923
2023-01-08  16:40    HAN   VTE  17:50    2023-01-08  01:10      110  QV312
2023-01-10  14:40    VTE   HAN  15:50    2023-01-08  01:10      110  QV311
2023-01-12  16:00    HAN   SGN  18:15    2023-01-12  02:15       70  VN255
2023-01-12  21:15    SGN   SYD  09:50    2023-01-13  08:35      760  VN773
2023-01-17  13:25    SYD   HBA  15:15    2023-01-17  01:50      140  QF995
2023-01-24  14:25    HBA   BNE  16:10    2023-01-24  02:45      170  QF1720
2023-01-28  12:05    BNE   NOU  15:15    2023-01-28  02:10      510  QF89
