Date        TakeOff  From  To   Arriving    Landing  Duration  Cost
2022-12-10  01:05    NOU   NRT  2022-12-10  08:00       08:55   480
2022-12-10  22:30    NRT   DXB  2022-12-11  05:30       12:00   500
2022-12-11  11:50    DXB   ATH  2022-12-11  15:25       05:35   250
2022-12-14  13:30    ATH   IST  2022-12-14  16:00       01:30    65
2022-12-16  16:50    IST   ATH  2022-12-16  17:20       01:30    65
2022-12-18  13:30    ATH   CPH  2022-12-18  15:55       03:25   110
2022-12-21  08:10    CPH   KEF  2022-12-21  10:35       03:25   150
2022-12-28  17:00    KEF   SEA  2022-12-28  17:05       07:55   490
2023-01-04  11:20    SEA   ICN  2022-01-05  16:15       11:55   500
2023-01-04  18:40    ICN   HAN  2022-01-05  21:40       05:00   260
2023-01-12  16:00    HAN   SGN  2022-01-12  18:15       02:15   170
2023-01-12  21:15    SGN   SYD  2023-01-13  09:50       08:35   660
2023-01-17  13:25    SYD   HBA  2023-01-17  15:15       01:50   140
2023-01-24  14:25    HBA   BNE  2023-01-24  16:10       02:45   170
2023-01-28  12:05    BNE   NOU  2023-01-28  15:15       02:10   510
